image_url,page_url,summary,table,top_songs,songs
https://img4.bdbphotos.com/images/120x156/y/n/ynyeu7o4vqgig4io.jpg?skj2io4l,https://www.famousfix.com/topic/sonu-nigam,"Sonu Nigam (born 30 July 1973) is an Indian singer, music director and actor. He sings predominantly in Hindi and Kannada language films but has also sung in Bengali, Gujarati,  Odia, Tamil, Telugu, Marathi, Nepali, Malayalam, Tulu and other Indian languages. Nigam has also released a number of albums and acted in some Hindi films. He is known as the “Modern Rafi” after his idol Mohammad Rafi, Sonu has won multiple awards including a nomination for academy awards","Age	48",,
https://img4.bdbphotos.com/images/120x156/y/n/ynyeu7o4vqgig4io.jpg?skj2io4l,https://www.famousfix.com/topic/sonu-nigam,"Sonu Nigam (born 30 July 1973) is an Indian singer, music director and actor. He sings predominantly in Hindi and Kannada language films but has also sung in Bengali, Gujarati,  Odia, Tamil, Telugu, Marathi, Nepali, Malayalam, Tulu and other Indian languages. Nigam has also released a number of albums and acted in some Hindi films. He is known as the “Modern Rafi” after his idol Mohammad Rafi, Sonu has won multiple awards including a nomination for academy awards","Birthday	30 July, 1973",,
https://img4.bdbphotos.com/images/120x156/y/n/ynyeu7o4vqgig4io.jpg?skj2io4l,https://www.famousfix.com/topic/sonu-nigam,"Sonu Nigam (born 30 July 1973) is an Indian singer, music director and actor. He sings predominantly in Hindi and Kannada language films but has also sung in Bengali, Gujarati,  Odia, Tamil, Telugu, Marathi, Nepali, Malayalam, Tulu and other Indian languages. Nigam has also released a number of albums and acted in some Hindi films. He is known as the “Modern Rafi” after his idol Mohammad Rafi, Sonu has won multiple awards including a nomination for academy awards","Birthplace Faridabad, Haryana, India ",,
https://img4.bdbphotos.com/images/120x156/y/n/ynyeu7o4vqgig4io.jpg?skj2io4l,https://www.famousfix.com/topic/sonu-nigam,"Sonu Nigam (born 30 July 1973) is an Indian singer, music director and actor. He sings predominantly in Hindi and Kannada language films but has also sung in Bengali, Gujarati,  Odia, Tamil, Telugu, Marathi, Nepali, Malayalam, Tulu and other Indian languages. Nigam has also released a number of albums and acted in some Hindi films. He is known as the “Modern Rafi” after his idol Mohammad Rafi, Sonu has won multiple awards including a nomination for academy awards","Eye Color	Brown - Light",,
https://img4.bdbphotos.com/images/120x156/y/n/ynyeu7o4vqgig4io.jpg?skj2io4l,https://www.famousfix.com/topic/sonu-nigam,"Sonu Nigam (born 30 July 1973) is an Indian singer, music director and actor. He sings predominantly in Hindi and Kannada language films but has also sung in Bengali, Gujarati,  Odia, Tamil, Telugu, Marathi, Nepali, Malayalam, Tulu and other Indian languages. Nigam has also released a number of albums and acted in some Hindi films. He is known as the “Modern Rafi” after his idol Mohammad Rafi, Sonu has won multiple awards including a nomination for academy awards","Hair Color	Brown - Dark",,
https://img4.bdbphotos.com/images/120x156/y/n/ynyeu7o4vqgig4io.jpg?skj2io4l,https://www.famousfix.com/topic/sonu-nigam,"Sonu Nigam (born 30 July 1973) is an Indian singer, music director and actor. He sings predominantly in Hindi and Kannada language films but has also sung in Bengali, Gujarati,  Odia, Tamil, Telugu, Marathi, Nepali, Malayalam, Tulu and other Indian languages. Nigam has also released a number of albums and acted in some Hindi films. He is known as the “Modern Rafi” after his idol Mohammad Rafi, Sonu has won multiple awards including a nomination for academy awards","Zodiac Sign	Leo",,
https://img4.bdbphotos.com/images/120x156/y/n/ynyeu7o4vqgig4io.jpg?skj2io4l,https://www.famousfix.com/topic/sonu-nigam,"Sonu Nigam (born 30 July 1973) is an Indian singer, music director and actor. He sings predominantly in Hindi and Kannada language films but has also sung in Bengali, Gujarati,  Odia, Tamil, Telugu, Marathi, Nepali, Malayalam, Tulu and other Indian languages. Nigam has also released a number of albums and acted in some Hindi films. He is known as the “Modern Rafi” after his idol Mohammad Rafi, Sonu has won multiple awards including a nomination for academy awards","Nationality	Indian",,
https://img4.bdbphotos.com/images/120x156/y/n/ynyeu7o4vqgig4io.jpg?skj2io4l,https://www.famousfix.com/topic/sonu-nigam,"Sonu Nigam (born 30 July 1973) is an Indian singer, music director and actor. He sings predominantly in Hindi and Kannada language films but has also sung in Bengali, Gujarati,  Odia, Tamil, Telugu, Marathi, Nepali, Malayalam, Tulu and other Indian languages. Nigam has also released a number of albums and acted in some Hindi films. He is known as the “Modern Rafi” after his idol Mohammad Rafi, Sonu has won multiple awards including a nomination for academy awards","Occupation	Music Producer","
					RankTitle
				
				
					
						1
						Kal Ho Naa Ho						
					
				
					
						2
						Aaj Ki Raat						
					
				
					
						3
						Mujhe Raat Din Bas						
					
				
					
						4
						Woh Ladki Hai						
					
				
					
						5
						Falak Se Sitara						
					
				
					
						6
						Kabhi Khushi Kabhie Gham (Sad version)						
					
				
					
						7
						Ab Mujhe Raat Din						
					
				
					
						8
						Tu						
					
				
					
						9
						Dil Ne Kaha						
					
				
					
						10
						Deewana Tera						
					
																	
			","
					
						05 Abhi Mujh Mein Kahin  - DownloadMing.Com
						
					
				
					
						Aada (Garam Masala)
						
					
				
					
						Aaj Ki Raat
						
					
				
					
						Aaja Sonia (M.S.S.K.G.)
						
					
				
					
						Aaja Soniye
						
					
				
					
						Aal Izz Well
						
					
				
					
						Aashiq samjho ya deewana
						
					
				
					
						Ab Mujhe Raat Din
						
					
				
					
						Abb Mujhe Raat Din - CD1
						
					
				
					
						Abc
						
					
				
					
						Abhi Mujh Main Kahin
						
					
				
					
						Abhi Mujh Mein Kahin
						
					
				
					
						Ada
						
					
				
					
						Ahsaan Mere Dil Pe
						
					
				
					
						Allah Hi Allah
						
					
				
					
						Andaje Siguthilla
						
					
				
					
						Anisuthide
						
					
				
					
						Ankhiyon Se Gal Kar Gayi
						
					
				
					
						Ankhiyon Se Gole Mare (Dolhe Raja)
						
					
				
					
						Apnaa Mujhe Tu Lagaa
						
					
				
					
						Ban Ke Dhadkan 
						
					
				
					
						Banke Tera Jogi
						
					
				
					
						Bardashat Nahi Kar Sakta (Bardashat)
						
					
				
					
						Be Qarar Dil (H.K.D.P.N.)
						
					
				
					
						Bhagwan Hai Kahan Re Tu
						
					
				
					
						Bhangra Pale (Anthony Kon Hai)
						
					
				
					
						Bheege Bheege (Classically Mind)
						
					
				
					
						Big Band Mix
						
					
				
					
						Bijuria
						
					
				
					
						Budmeez
						
					
				
					
						Bus Stop
						
					
				
					
						chak de (hum tum)
						
					
				
					
						Chale Aao
						
					
				
					
						Challa challa
						
					
				
					
						Chaltha Chaltha
						
					
				
					
						Chamakti Sham Hai (Yaadein)
						
					
				
					
						Chanda Ki Doli
						
					
				
					
						Chanda Ki Doli Mai (Chanda Ki Doli)
						
					
				
					
						Chanjharan Waja Ke Lang Gai 
						
					
				
					
						Chara Shad Gai Saade Ma-Pe
						
					
				
					
						Chori Chori (Lucky)
						
					
				
					
						Chup Chup Ke (Banti Aur Babli)
						
					
				
					
						Chup Chup Ke (From Bunty Aur Babli)
						
					
				
					
						De Diya Dil
						
					
				
					
						Deewana Dil Hai Mera
						
					
				
					
						Deewana Hai Dekho
						
					
				
					
						Deewana Hoke Hum - CD1
						
					
				
					
						Deewana Hoke Hum (Jan)
						
					
				
					
						Deewana Tera
						
					
				
					
						Dekho Na Dekho Na
						
					
				
					
						Dheere Jalna
						
					
				
					
						Dholna (Hey Baby)
						
					
				
					
						Dil Dopa (Khaki)
						
					
				
					
						Dil Ka Qarar (Sangarsh)
						
					
				
					
						Dil Ne Kaha
						
					
				
					
						Dil Ne Ye Kaha Hai Dil Se (Dhadkan)
						
					
				
					
						Dil Se Dil Tak Baat Pahunchi
						
					
				
					
						Dil Vich Lagya Ve
						
					
				
					
						Diwane Ho Ke Hum Milne Lage Sanam
						
					
				
					
						Do Kadam
						
					
				
					
						Do Pal (from Veer-Zaara)
						
					
				
					
						Do Pal Ka (Veer Zara)
						
					
				
					
						Do Pyaar
						
					
				
					
						Dont Say Alvida ( Main Aurr Mrs Khanna )
						
					
				
					
						Dopata Tera (Partnar)
						
					
				
					
						Dum
						
					
				
					
						Dum (Video)
						
					
				
					
						Dupatta Tera Nau Rang Da (from Partner)
						
					
				
					
						Ek Baar Tujhko Dekha
						
					
				
					
						Ek Bewafa Hai (Bewafa)
						
					
				
					
						Ek Din Kahin (From ""Aur Pyar Ho Gaya"")
						
					
				
					
						Falak Dekhun
						
					
				
					
						Falak Se Sitara
						
					
				
					
						Free Ideera
						
					
				
					
						Ghutakh Dil Tere Liye (Dil Mange Moor)
						
					
				
					
						Gori Chad Ke Suit 
						
					
				
					
						Gulabi Ankhen (From ""The Train"")
						
					
				
					
						Gumshada (Chalte Chalte)
						
					
				
					
						Gunde Aadina
						
					
				
					
						Guzarish (from Ghajini)
						
					
				
					
						Halka Halka Sa Ye Nasha (Chocolate)
						
					
				
					
						Halka Halka Sa Yeh Sama
						
					
				
					
						Hamen Jab Se Mohabbat
						
					
				
					
						Har Ek Friend Kamina Hota Hai
						
					
				
					
						Hari Mere Ghar Ko
						
					
				
					
						Hasrat Bhari Nazar
						
					
				
					
						Hey Dinbandhu
						
					
				
					
						Hod Se Bachkar
						
					
				
					
						Hum Ko Maloom Hai (Jan-E-Man)
						
					
				
					
						Hum To Mohabbat Karega (From ""Hum To Mohabbat Karega"")
						
					
				
					
						Hum Tum Se
						
					
				
					
						I Wanna Fall In Love (From Prem Kaa Game)
						
					
				
					
						Idhdhalliye
						
					
				
					
						In Lamhon Mai (Judha Akbar)
						
					
				
					
						Inn Lamhon Ke Daaman Mein (from Jodhaa Akbar)
						
					
				
					
						Is Kadar Pyar Hai - CD1
						
					
				
					
						Is Kadar Pyar Hai Tumse
						
					
				
					
						Ishq Hua (from Aaja Nachle)
						
					
				
					
						Ishq Kamaina (Shakti)
						
					
				
					
						Ishq Kameena (From ""Shakti"")
						
					
				
					
						Jaage Tere Sapne
						
					
				
					
						Jaane Kyon Main Tujhko Din Raat
						
					
				
					
						Jaane Nahin Denge
						
					
				
					
						Jaane Nahin Denge Tujhe
						
					
				
					
						Jab Main Bhatak Jata Hoon
						
					
				
					
						Jabse Mere Dil Ko Uff
						
					
				
					
						Jagadalliro
						
					
				
					
						Jai Mata Di Jai Mata Di
						
					
				
					
						Jane Kyon Mai Tujhe (Jan)
						
					
				
					
						Javed Ali - Nagada Nagada
						
					
				
					
						Jeena Tere Liye (Yaad)
						
					
				
					
						Jhanjhraan Wajake Langh Gaee - CD2
						
					
				
					
						Jisne Mere Sapne - CD2
						
					
				
					
						Jisne Mere Sapne Mehkaye
						
					
				
					
						Just Chill (Maine Pyaar Kyun Kiya)
						
					
				
					
						Just Love Me (Main Akela)
						
					
				
					
						Kabhi Alvida Na Kehna (K.A.N.K.)
						
					
				
					
						Kabhi Alvida Na Kehna (KANK)
						
					
				
					
						Kabhi Alvida Naa Kehna
						
					
				
					
						Kabhi Khushi Kabhie Gham - Sad-1
						
					
				
					
						Kabhi Khushi Kabhie Gham (Sad version)
						
					
				
					
						Kabhi Khushi Kabhie Gham - Sad Version -1
						
					
				
					
						Kabhi Tum Lage Zindagi
						
					
				
					
						Kaise Main Kahoon
						
					
				
					
						Kal Hi Ki Baat Hai
						
					
				
					
						Kal Ho Na Ho
						
					
				
					
						Kal Ho Naa Ho
						
					
				
					
						Kaun Hai Woh Ladki
						
					
				
					
						Keh Raha Hai (Babul)
						
					
				
					
						Khamoshiyan Gangunane Lagi (Part 1)
						
					
				
					
						Khamoshiyan Gunguna (from the film 'One 2 Ka Four')
						
					
				
					
						Khamoshiyan Gungunane
						
					
				
					
						Khamoshiyan Gungunane Lagi
						
					
				
					
						Khata Vintawa
						
					
				
					
						Khoye Khoye Din Hai (H.T.H.S.)
						
					
				
					
						Khwabon Mein Dil Churane 
						
					
				
					
						Kismet Se Tum Hum Ko Mile
						
					
				
					
						Koi Baat Nahin
						
					
				
					
						Koi Tumsa Nahi
						
					
				
					
						Kuch Baat To Hai
						
					
				
					
						Kuch to Sucho (Deewana)
						
					
				
					
						Kuchh Tum Socho
						
					
				
					
						Kudi Mili Hai Kamaal Main Ki Karaan - CD2
						
					
				
					
						Kurie Mili Hai Kamal 
						
					
				
					
						Let's Go For Glory
						
					
				
					
						Maa Ke Jaisi
						
					
				
					
						Maahi Ve
						
					
				
					
						Mad Bhari - CD2
						
					
				
					
						Mahi Ve (Kal Ho Na Ho)
						
					
				
					
						Main Agar Kaho (Om Shanti Om)
						
					
				
					
						Main Agar Kahoon
						
					
				
					
						Main Hoon Na (from Main Hoon Na)
						
					
				
					
						Main Hoon Na (Main Hoon Na)
						
					
				
					
						Main Hoon Na (MHN)
						
					
				
					
						Maine Pyaar Hoon Tera Jaane Na Tu
						
					
				
					
						Mannata
						
					
				
					
						Mausam
						
					
				
					
						Mera Dil Chahe
						
					
				
					
						Mera Hath Mai (Fanna)
						
					
				
					
						Mere Dil Main Rehnewali
						
					
				
					
						Mere Dil Mein Rehnewali - CD2
						
					
				
					
						Mere Haath Mein
						
					
				
					
						Mere Humsafar (From ""Refugee"")
						
					
				
					
						Mere Humsafar (Refugee)
						
					
				
					
						Mere Siwa (Yaad)
						
					
				
					
						Meri Duniya Hai (Vaastav)
						
					
				
					
						Meri Duniya Mai Aake (Tum Bin)
						
					
				
					
						Mohabbat Kabhi Mai Ne (Yaad)
						
					
				
					
						Mohabbat Kabhi Maine
						
					
				
					
						Mubail Nimbar (Haseena Manjye Gi)
						
					
				
					
						Mughe Mill Gaya Mere (Jena Sirf Tere Liya)
						
					
				
					
						Mujhe Pyar Do (A.T.H.W.S.)
						
					
				
					
						Mujhe Raat Din Bas
						
					
				
					
						Mujhe Raat Din (Sangarash)
						
					
				
					
						Mujhe Tumse Milke - CD1
						
					
				
					
						Mystic Love Mix
						
					
				
					
						Nach Le Ve (Tara Rum Pum)
						
					
				
					
						Nagada Nagada
						
					
				
					
						Naguva Mogava
						
					
				
					
						Naino Mein Tere Hain Sapne
						
					
				
					
						Nassa Nassa
						
					
				
					
						Neenirade
						
					
				
					
						Neenu Nanna Saviganasu
						
					
				
					
						Nene Nene Mo Ningeeni
						
					
				
					
						Nigara Baja (Jab V Met)
						
					
				
					
						Ninna Nodo
						
					
				
					
						No Entry (Ishq Ki Galli Mein)
						
					
				
					
						Nuvvu Puttindadi
						
					
				
					
						O... Saya
						
					
				
					
						O Shaheedon
						
					
				
					
						O Sudha
						
					
				
					
						Oh Mama Mama (From ""Rehnaa Hai Terre Dil Mein"")
						
					
				
					
						Pagal Hoon Main
						
					
				
					
						Pal Pal Har Pal (from Lage Raho Munnabhai)
						
					
				
					
						Panchhi Nadiyan Pawan Ke Jhonke (From ""Refugee"")
						
					
				
					
						Panchi Nadiya Pawan Ke (From ""Refugee"")
						
					
				
					
						Paravashanadenu
						
					
				
					
						Phir Milenge Chalte Chalte
						
					
				
					
						Piyu Bole (From ""Parineeta"")
						
					
				
					
						Prabhu Le Lo Phir Avtaar
						
					
				
					
						Punjabian Neh Aaj Yaaro 
						
					
				
					
						Pyaar Ki Kasam
						
					
				
					
						Pyar Ki Ek Kahani
						
					
				
					
						Pyar Ki Kahani (Krrish)
						
					
				
					
						Pyar Ki Kasam
						
					
				
					
						Pyar Main Tere (Life Main Kabhi Kabhi)
						
					
				
					
						Pyar Mein Tere (From ""Vaah! Life Ho Toh Aisi"")
						
					
				
					
						Rab Bakshan Hara Eh 
						
					
				
					
						Raba Ishq Na Howe (Andaz)
						
					
				
					
						Raba Mere Raba (Mujhe Kuch Kehna Hai)
						
					
				
					
						Rabba Rabba
						
					
				
					
						Rafta-Rafta - CD2
						
					
				
					
						Rafta Rafta (Chanda Ki Doli)
						
					
				
					
						Rafta,rafta Nazar
						
					
				
					
						Rang Rang
						
					
				
					
						Rehnaa Hai Tere Dil Mein
						
					
				
					
						Rehnaa Hai Terre Dil Mein (From ""Rehnaa Hai Terre Dil Mein"")
						
					
				
					
						Rehne De
						
					
				
					
						Roshan Tumheen Se Duniya
						
					
				
					
						Rosy Eyes the Train
						
					
				
					
						Saathiya
						
					
				
					
						Sadha Ninna Kannali
						
					
				
					
						Saiyyan Bina
						
					
				
					
						Salaam-E-Ishq (From Salaam-E-Ishq)
						
					
				
					
						Salam-E-Ishq (Salam-E-Ishq)
						
					
				
					
						Sandese Aate Hai
						
					
				
					
						Sau Dard
						
					
				
					
						Shara La - CD2
						
					
				
					
						Shart
						
					
				
					
						Shehzada
						
					
				
					
						Shreya Ghoshal - Salaam-E-Ishq
						
					
				
					
						Shukran Allah
						
					
				
					
						So Dard Hain
						
					
				
					
						Socha Sau Dafa
						
					
				
					
						Sohniye Sohaniye 
						
					
				
					
						Sohniye Tun Haan Karde
						
					
				
					
						Soja Sapno Mein Khoja
						
					
				
					
						Soniyo
						
					
				
					
						Su Ru Ru Ru (Tum Bin)
						
					
				
					
						Sub Kuch Bhula (Hum Tumhare Hai Sanam)
						
					
				
					
						Suchta Hoon Main (Classically Mind)
						
					
				
					
						Sum Zara (Lucky)
						
					
				
					
						Sun Zara
						
					
				
					
						Suraj Howa Maddhum (K3G)
						
					
				
					
						Suraj Hua Maddham
						
					
				
					
						Sut Raangi Re (Dil Se)
						
					
				
					
						Taal Pe Jab (From ""Refugee"")
						
					
				
					
						Tainu Le Ke Kana (Salam-E-Ishq)
						
					
				
					
						Tanhai (Dil Chahat Hai)
						
					
				
					
						Tanhayee
						
					
				
					
						Tauba Tauba
						
					
				
					
						Tees Maar Khan
						
					
				
					
						Tenu leke (Salaam-e-ishq)
						
					
				
					
						Tera Milna Pal Do Pal - CD2
						
					
				
					
						Tera Milna Pal Do Pal Ka
						
					
				
					
						Tere Bin
						
					
				
					
						Tere Ghar Ke Raaste
						
					
				
					
						Teri Galiyon Mein
						
					
				
					
						Teri Sharan Mei
						
					
				
					
						Teri Yaad Sataaye - CD1
						
					
				
					
						Teri Yaad Sataiye 
						
					
				
					
						Tharo Roop
						
					
				
					
						This Is It
						
					
				
					
						Thoda Sa Pyar Howa Hai (M.D.T.K.D.)
						
					
				
					
						Thumka
						
					
				
					
						Too - CD1
						
					
				
					
						Tu
						
					
				
					
						Tu Hai - www.Songs.PK
						
					
				
					
						Tu Har Pal Aane Lagi Hai Nazar
						
					
				
					
						Tu Har  Pal Yaad Aane Lagi - CD1
						
					
				
					
						Tu Hi Bata
						
					
				
					
						Tu Hindu Banega
						
					
				
					
						Tu Mila De
						
					
				
					
						Tu Sab Kuch Re
						
					
				
					
						Tujhe Chhoone Ko Dil Kare - CD2
						
					
				
					
						Tujhe Chhune Ko Dil Karen
						
					
				
					
						Tujhe Lage na
						
					
				
					
						Tum Se Acha
						
					
				
					
						Tum Se Mil Ke Dil Ka (Main Hoon Na)
						
					
				
					
						TUMHARI ZULF KE
						
					
				
					
						Tumhi Dekho Naa
						
					
				
					
						Tumne Mohabbat Ki
						
					
				
					
						Tumse Milke Dil Ka Hai Jo Hal (from Main Hoon Na)
						
					
				
					
						Ultimate Bollywood Workout - Vol 1
						
					
				
					
						Vandana Kariye
						
					
				
					
						Wada karo ye wada
						
					
				
					
						Wo Ankh Hi Kia (Khudar)
						
					
				
					
						Woh Ladki Hai
						
					
				
					
						Yadoo Yadoo Chappcnamma
						
					
				
					
						Ye Dil Deewana (Pardes)
						
					
				
					
						Ye Dil Tere Bin Yaad 2001
						
					
				
					
						Ye Dil Tere Bina - CD1
						
					
				
					
						Ye Pehli Mulaqat Ki
						
					
				
					
						Yeh Dil (Pardesh)
						
					
				
					
						Yeh Mera Dil
						
					
				
					
						Yeh Naya Naya
						
					
				
					
						Yeh Pehli Mulakaat - CD1
						
					
				
					
						Yeh Pehli Mulaqat Ki
						
					
				
					
						Yesterday Was Tomorrow
						
					
				
					
						You Are My Soniya
						
					
				
					
						Zindagi Is Tarah (From ""Murder"")
						
					
				
					
						Zom Bumbura (Tum Bin)
						
					
				
					
						Zoobi Doobi
						
					
				"
https://img4.bdbphotos.com/images/120x156/a/a/aawwx10l7loxww.jpg?skj2io4l,https://www.famousfix.com/topic/lata-mangeshkar,"Lata Mangeshkar ( (born as Hema Mangeshkar on 28 September 1929)) is an Indian playback singer and music director. She is one of the best-known and most respected playback singers in India. She has recorded songs in over a thousand Hindi films and has sung songs in over thirty-six regional Indian languages and foreign languages, though primarily in Marathi, Hindi, Bengali and Assamese.","Age	92",,
https://img4.bdbphotos.com/images/120x156/a/a/aawwx10l7loxww.jpg?skj2io4l,https://www.famousfix.com/topic/lata-mangeshkar,"Lata Mangeshkar ( (born as Hema Mangeshkar on 28 September 1929)) is an Indian playback singer and music director. She is one of the best-known and most respected playback singers in India. She has recorded songs in over a thousand Hindi films and has sung songs in over thirty-six regional Indian languages and foreign languages, though primarily in Marathi, Hindi, Bengali and Assamese.","Birthday	28 September, 1929",,
