Title,Title_URL,entrymeta,Field,Text,Text1,Field1,Field2
பாடகர் எஸ். ஜி. கிட்டப்பா | Singer S. G. Kittappa,https://tamizharulagam.in/2021/04/30/singers-g-kittappa093805/,"
				April 30, 2021			","எஸ். ஜி. கிட்டப்பா (S. G. Kittappa) என்று அழைக்கப்பட்ட செங்கோட்டை கங்காதரன் கிட்டப்பா (ஆகத்து 25, 1906 – டிசம்பர் 2, 1933) திரைப்படக் காலத்துக்கு முன்பே 1920களில் பிரபலமாயிருந்த ஒரு…","எஸ். ஜி. கிட்டப்பா (S. G. Kittappa) என்று அழைக்கப்பட்ட செங்கோட்டை கங்காதரன் கிட்டப்பா (ஆகத்து 25, 1906 – டிசம்பர் 2, 1933) திரைப்படக் காலத்துக்கு முன்பே 1920களில் பிரபலமாயிருந்த ஒரு செவ்வியல் பாடகர் மற்றும் நாடகக் கலைஞர். இவர் திரைப்பட நடிகையும் பாடகியுமான கே. பி. சுந்தராம்பாளின் கணவர். ","கிட்டப்பா செங்கோட்டையில் பிறந்தவர். இயற்பெயர் இராமகிருஷ்ணன். அப்பொழுது செங்கோட்டை திருவிதாங்கூர் சமஸ்தானத்தின் கீழ் இருந்தது. இவரது தந்தையின் பெயர் கங்காதர அய்யர். தாயார் மீனாட்சி அம்மாள். இவருடன் பிறந்தோர் சுப்புலட்சுமி, சிவகாமி, அப்பாத்துரை, சுப்பையா, செல்லப்பா, சங்கரன், காசி, பிச்சம்மாள், நாராயணன் ஆகியோர். வீட்டிலுள்ளோர் செல்லமாக அழைத்த பெயர் கிட்டன். அதுவே கிட்டப்பா என்ற பெயராக நிலைத்து விட்டது. குடும்பத்தின் வறுமையினால் இவருக்கு முறையான கல்வி கிடைக்கவில்லை. ஆனால் சங்கரதாஸ் சுவாமிகள் ஆதரவால் இசையிலும் நாடகக்கலையிலும் நல்ல தேர்ச்சி பெறமுடிந்தது. மிகச் சிறிய வயதிலேயே நாடகங்களில் நடித்து நல்ல பெயர் எடுத்தார். இவர் 5-ஆம் வயதில் முதன்முதல் மேடையேறினார். தனது 8-ஆவது வயதில் சிலோனில் நடைபெற்ற நாடகங்களில் நடித்தார். அங்கிருந்த இந்திய வர்த்தக அமைப்பு இவரது கலைத்திறமையைப் பாராட்டித் தங்கப் பதக்கமும் சான்றிதழும் வழங்கிப் பெருமைப் படுத்தியது. பாடகியாக வளர்ந்து கொண்டிருந்த கே. பி. சுந்தராம்பாளுக்கும் இவருக்கும் 1927ல் திருமணம் நடந்தது. இவர்கள் திருமணம் காதல் திருமணமாகும். திருமணத்துக்குப் பின் இருவரும் சேர்ந்து நடித்த பல நாடகங்கள் அமோகவெற்றி பெற்றன. ஓயாத உழைப்பே இவரது உடல் நலத்துக்குக் கேடாக அமைந்தது. திருவாரூரில் நடித்துக் கொண்டிருக்கும்போது மேடையிலேயே மயங்கி விழுந்து இவரது உயிர் பிரிந்தது. 1933ல் இவர் இறந்தபோது இவருக்கு வயது 28தான். ",செ.க.கிட்டப்பா பாடிய பல்வேறு பாடல்களில் புகழ்பெற்ற பாடல்கள் சில பின்வருமாறு: ,அன்றொருநாள் குட்டி அருஞ்சிறையிலிட்டேன் நான்
பாடகர் ஸ்ரீநிவாஸ் | Singer Srinivas,https://tamizharulagam.in/2021/04/28/singersrinivas174710/,"
				April 28, 2021			","ஸ்ரீநிவாஸ் (பிறப்பு:நவம்பர் 7, 1959) தமிழ்,கன்னடம்,மலையாளம்,தெலுங்கு மொழிகளில் பாடும் ஓர் தென்னிந்திய திரைப்படப்பாடகர். முன்னணி இசையமைப்பாளர்களான இளையராஜா,தேவா,ஏ. ஆர். ரகுமான்,வித்யாசாகர் போன்றவர்களின் இசையில் தென்னிந்திய மொழிகளிலும் இந்தியிலும் திரைப்பாடல்கள் பாடியுள்ளார்.வேதியியல் பொறியாளராக பத்தாண்டுகள்…","ஸ்ரீநிவாஸ் (பிறப்பு:நவம்பர் 7, 1959) தமிழ்,கன்னடம்,மலையாளம்,தெலுங்கு மொழிகளில் பாடும் ஓர் தென்னிந்திய திரைப்படப்பாடகர். முன்னணி இசையமைப்பாளர்களான இளையராஜா,தேவா,ஏ. ஆர். ரகுமான்,வித்யாசாகர் போன்றவர்களின் இசையில் தென்னிந்திய மொழிகளிலும் இந்தியிலும் திரைப்பாடல்கள் பாடியுள்ளார்.வேதியியல் பொறியாளராக பத்தாண்டுகள் பணியாற்றிய பிறகு இசைத்துறையில் ஈடுபாடு காரணமாக உட்புகுந்து சாதனை படைத்தவர். ",ஸ்ரீநிவாஸ் தமிழ்நாட்டின் அம்பாசமுத்திரத்தில் துரைசாமி அய்யங்கார் மற்றும் இலட்சுமிக்கு பிறந்தவர். பின்னர் கேரளாவின் திருவனந்தபுரத்தில் வளர்ந்தார். அங்கு தமது அத்தை பத்மா நாராயணன் உந்துதலில் இசையில் நாட்டமும் பயிற்சியும் பெற்றார். ,வேதியியல் பொறியியல் பட்டப்படிப்பினை மும்பை பல்கலைக்கழகத்தின் கீழுள்ள வேதியியல் தொழில்நுட்பத் துறை (UDCT)யில் முடித்தார்.பத்தாண்டுகள் பொறியாளராகப் பணிபுரிந்தபிறகு தமது இசையார்வம் காரணமாக பணிவாழ்வில் மாற்றத்தை விரும்பினார். 1988ஆம் ஆண்டு இளையராஜாவிடம் பணிபுரிய வாய்ப்பு கிடைத்தும் அன்றைய நாள் அவரது தொண்டைப்புண் காரணமாக நிறைவேறவில்லை. ,தமிழ்நாடு அரசின் மாநில விருதினை சிறந்த பின்னணிப்பாடகர் என்ற வகையில் இருமுறை பெற்றுள்ளார்:படையப்பாவின் “மின்சாரப்பூவே” மற்றும் ஒன்பது ரூபா நோட்டு படத்தில் “மார்கழியில்”. 
பாடகர் முக்கேஷ் | Singer Mukesh singer,https://tamizharulagam.in/2021/04/28/singermukeshsinger174437/,"
				April 28, 2021			","முக்கேஷ் சந்த் மத்தூர் (இந்தி: मुकेश चन्द माथुर) (22 ஜூலை 1923 – 27 ஆகஸ்ட் 1976) பாலிவுட்டின் இந்தியப் பின்னணிப் பாடகராவார். முகமது ரபீ, கிஷோர் குமார் மற்றும் மன்னா…","முக்கேஷ் சந்த் மத்தூர் (இந்தி: मुकेश चन्द माथुर) (22 ஜூலை 1923 – 27 ஆகஸ்ட் 1976) பாலிவுட்டின் இந்தியப் பின்னணிப் பாடகராவார். முகமது ரபீ, கிஷோர் குமார் மற்றும் மன்னா தேய் ஆகியோருடன் இணைந்து 1950கள் முதல் 1970கள் வரை இந்தியத் திரைப்பட பின்னணி இசையில் அவர் ஆதிக்கம் செலுத்தினார். ",இவர் டெல்லியில் ஒரு சிறிய நடுத்தர வகுப்பு பஞ்சாபி குடும்பத்தில் பொறியாளரான ஜோராவார் சந்த் மத்தூர் மற்றும் சந்த் ராணி இருவருக்கும் மகனாகப் பிறந்தார். இவரது குடும்பத்தில் பிறந்த பத்து குழந்தைகளில் முகேஷ் ஆறாவது குழந்தையாவார். முகேஷின் சகோதரி சுந்தர் பியாரிக்கு சொல்லிக்கொடுக்க வந்த இசையாசிரியர் பக்கத்து அறையில் இருந்து அதை கேட்டுக்கொண்டிருக்கும் முகேஷின் ஆர்வத்தைக் கண்டார். இவருக்கு பரமேஷ்வரி தாஸ் என்ற இளைய சகோதரர் இருக்கிறார். பொது பணிகளின் டெல்லித் துறையில் சுருக்கமாக வேலை செய்வதற்காக முகேஷ் 10வது வகுப்பிற்குப் பிறகு பள்ளிப் படிப்பை விடுத்தார். டெல்லியில் அவர் வேலை பார்த்துக்கொண்டிருக்கும் போது குரல் பதிவுகளை செய்து முகேஷ் சோதனை செய்து பார்த்தார். பின்னர் அவரது பாடும் திறமைகளை சிறிது சிறிதாக வளர்த்துக்கொண்டார். ,"முகேஷின் தனது சகோதரியின் திருமணத்தில் பாடியபோது அவரது குரலானது தூரத்து உறவினரான மோதிலால் மூலமாக கவனிக்கப்பட்டது. மோதிலால் அவரை பம்பாய்க்கு தன்னுடன் அழைத்துச் சென்று தங்க வைத்து பண்டிட் ஜெகனாத் பிரசாத்தை முகேஷிற்கு பாட்டு வகுப்பிற்கு ஏற்பாடு செய்தார். இந்த சமயத்தில் நிர்தோஷ் (இன்னொசென்ட்) (1941) என்ற இந்தித் திரைப்படத்தில் ஒரு பாத்திரத்தை முகேஷ் முயன்று பெற்றார். நிர்தோஷிற்காக ஒரு பாடும் நடிகராக தில் ஹீ புஜ்ஹா ஹுவா ஹோ தூ என்ற அவரது முதல் பாடலைப் பாடினார். முகேஷ் அவரது முதல் பின்னணிப் பாடகர் வாய்ப்பை அனில் பிவாஸால் இசையமைக்கப்பட்டு ஆஹ் சிட்டாபூரி (பர்ஸ்ட் லுக்) மூலமாக பாடல்கள் எழுதப்பட்டு நடிகர் மோதிலாலுக்காகவே 1945 ஆம் ஆண்டில் வெளியான பெஹ்லி நசர் திரைப்படத்தின் மூலமாகப் பெற்றார். அவரது முதல் பாடலானது இந்தித் திரைப்படமான தில் ஜல்டா ஹை டூ ஹல்னே தீ (உங்களது நெஞ்சு எரிந்தால், எரியட்டும் விடுங்கள்) திரைப்படத்திற்காக பாடினார். தற்செயலாய் இப்பாடல் மோதிலால் படமாக்கப்பட்டது. ",1974 – ரஜ்னிகாந்தா திரைப்படப் பாடலான கெயின் பார் யோன் பீ தேக்ஹா ஹைக்காக சிறந்த ஆண் பின்னணிப் பாடகருக்கான தேசியத் திரைப்பட விருது
பாடகர் மன்னா தே | Singer Manna Dey,https://tamizharulagam.in/2021/04/28/singermannadey171428/,"
				April 28, 2021			","மன்னா தே (Manna Dey, வங்காள: মান্না দে) என்று பெரிதும் அறியப்பட்ட,பிரபோத் சந்திர தே (1 மே, 1919 – 24 அக்டோபர் 2013), இந்தி மற்றும் வங்காள திரைப்படங்களில் 1950…","மன்னா தே (Manna Dey, வங்காள: মান্না দে) என்று பெரிதும் அறியப்பட்ட,பிரபோத் சந்திர தே (1 மே, 1919 – 24 அக்டோபர் 2013), இந்தி மற்றும் வங்காள திரைப்படங்களில் 1950 – 1970 காலகட்டங்களில் மக்களால் மிகவும் விருப்பப்பட்ட பின்னணி பாடகராவார். தமது வாழ்நாளில் 3500 பாடல்களுக்கும் கூடுதலாக பாடல்களை பதிவு செய்துள்ளார். 2007ஆம் ஆண்டுக்கான தாதாசாஹெப் பால்கே விருது பெற்றவர்.பத்மஸ்ரீ.பத்மபூசண் விருதுகள் பெற்றவர். ","பூர்ண சந்திர தே மற்றும் மகாமாயா தே தம்பதியினருக்கு பிறந்தார். தமது தந்தையின் உடன்பிறப்பான இசையாசிரியர் கே சி தேயின் தாக்கத்தால் இசையின்பால் ஆர்வமிக்கவரானார். இந்து பாபர் பாடசாலையில் துவக்கக் கல்வியும்,ஸ்காட்டிஷ் சர்ச் கல்லூரி பள்ளியிலும் பின் கல்லூரியிலும் உயர்கல்வியும் பெற்றார். வித்யாசாகர் கல்லூரியில் பட்டப்படிப்பு மேற்கொண்டார். ",கே சி தே மற்றும் உசுதாது தாபீர் கான் இவர்களிடம் இந்துஸ்தானி இசையை முறையாக பயின்றார். கல்லூரிகளுக்கிடையேயான இசைப்போட்டிகளில் முதல் பரிசுகள் பெற்று வந்தார். ,
பாடகர் மகேந்திர கபூர் | Singer Mahendra Kapoor,https://tamizharulagam.in/2021/04/28/singermahendrakapoor171342/,"
				April 28, 2021			","மகேந்திர கபூர் (Mahendra Kapoor, இந்தி: महेन्द्र कपूर, ஜனவரி 9, 1934-செப்டம்பர் 27, 2008) ஓர் இந்தித் திரைப்படப் பாடகர் ஆவார். நாற்பது ஆண்டுகளுக்கு மேல் இந்தியிலும் பல்வேறு மொழிகளிலும் குறைந்தது…","மகேந்திர கபூர் (Mahendra Kapoor, இந்தி: महेन्द्र कपूर, ஜனவரி 9, 1934-செப்டம்பர் 27, 2008) ஓர் இந்தித் திரைப்படப் பாடகர் ஆவார். நாற்பது ஆண்டுகளுக்கு மேல் இந்தியிலும் பல்வேறு மொழிகளிலும் குறைந்தது 25,000 பாடல்களை பாடியுள்ளார். இயக்குனர் பி. ஆர். சோப்ராவின் திரைப்படங்களிலும் நடிகர் மனோஜ் குமாரின் திரைப்படங்களிலும் பாடிப் புகழ்பெற்றார். ",2008இல் செப்டம்பர் 27ஆம் தேதி இதய நோய் காரணமாக காலமானார். ,,
பாடகர் பிரம்மானந்தன் | Singer Brahmanandan,https://tamizharulagam.in/2021/04/28/singerbrahmanandan165008/,"
				April 28, 2021			",பிரம்மானந்தன் (1946 – 2004) ஒரு மலையாள மற்றும் தமிழ்த் திரைப்படப் பாடகர். குறைவான பாடல்களையே பாடியிருக்கிறார் என்றாலும் தன்னுடைய தனித்தன்மை வாய்ந்தகுரலால் பெரும்புகழ் பெற்றவராக இருக்கிறார். பிரம்மானந்தன் 1946 ல் திரிச்சூர்…,பிரம்மானந்தன் (1946 – 2004) ஒரு மலையாள மற்றும் தமிழ்த் திரைப்படப் பாடகர். குறைவான பாடல்களையே பாடியிருக்கிறார் என்றாலும் தன்னுடைய தனித்தன்மை வாய்ந்தகுரலால் பெரும்புகழ் பெற்றவராக இருக்கிறார். ,பிரம்மானந்தன் 1946 ல் திரிச்சூர் அருகே கடக்காவு என்ற ஊரில் பிறந்தவர். கடக்காவு சுந்தர பாகவதர் இவரது முதல் குரு. பின்னர் சென்னைக்கு வந்து டி. கெ. ஜெயராமனிடம் மரபிசை பயின்றார். அகில இந்திய வானொலி நடத்திய மெல்லிசைப் போட்டியில் சிறந்த பாடகருக்கான முதல் பரிசை 1968ல் பெற்றார். 1969ல் இவரை இசையமைப்பாளர் கெ. ராகவன் தன்னுடைய கள்ளிச்செல்லம்மா என்ற படத்தில் அறிமுகம்செய்தார். ,"கள்ளிச்செல்லம்மா படத்தில் வரும் ’மானத்தே காயலில்..’ என்ற இன்னிசைப் பாடலைப் பாடி பிரம்மானந்தன் பெரும்புகழ்பெற்றார். கனத்த குரல் கொண்ட இவர் மென்மையாகப் பாடக்கூடியவர். பிரம்மானந்தன் பாடிய பெரும்பாலான பாட்டுக்கள் பெரும் வெற்றி பெற்றன. அவருக்கு கெ.ராகவன், தட்சிணாமூர்த்தி, எம். கெ. அர்ஜுனன், ஏ. டி. உம்மர், ஆர். கெ. சேகர் போன்ற இசையமைப்பாளர்கள் நிறைய வாய்ப்புகளை கொடுத்தார்கள். ஆனால் அன்று மலையாள இசையுலகின் முதன்மை இசையமைப்பாளராக இருந்த தேவராஜன் மாஸ்டர் பிரம்மானந்தனை தொடர்ந்து புறக்கணித்தார். ஆகவே பிரம்மானந்தன் குறைவான பாடல்களையே பாட நேர்ந்தது. ஒருகட்டத்தில் வாய்ப்பே இல்லாது போயிற்று. ",மானத்தே காயலில் 
பாடகர் பித்துக்குளி முருகதாஸ் | Singer Pithukuli Murugadas,https://tamizharulagam.in/2021/04/28/singerpithukulimurugadas164825/,"
				April 28, 2021			","பித்துக்குளி முருகதாஸ் (Piththukkuli Murugadas, 25 சனவரி 1920 – 17 நவம்பர் 2015) பக்திப் பாடல்களைப் பாடி புகழ் பெற்றவர். உலகின் பல நாடுகளுக்குச் சென்று இசைக் கச்சேரிகள் செய்தவர். இளமைப்பருவம்…","பித்துக்குளி முருகதாஸ் (Piththukkuli Murugadas, 25 சனவரி 1920 – 17 நவம்பர் 2015) பக்திப் பாடல்களைப் பாடி புகழ் பெற்றவர். உலகின் பல நாடுகளுக்குச் சென்று இசைக் கச்சேரிகள் செய்தவர். ","பாலசுப்பிரமணியம் என்ற இயற்பெயரைக் கொண்ட முருகதாஸ் 1920 ஆம் ஆண்டு சனவரி 25 ஆம் நாள் (சித்தார்த்தி வருடம், தைப்பூச திருநாளில்) கோவையில் சுந்தரம் ஐயர், அலமேலு ஆகியோருக்கு மகனாகப் பிறந்தார். தாத்தா அரியூர் கோபாலகிருஷ்ண பாகவதர் (உஞ்சவிருத்தி பஜனை வித்வான்), பாட்டி ருக்மணியம்மாள். முருகதாசுக்கு பாட்டி ருக்மணியம்மாள் பக்திப் பாடல்களை சொல்லிக் கொடுத்தார். சகோதரி செல்லம்மாள், சகோதரர் கோபாலகிருஷ்ணன். ","1936 ஆம் ஆண்டு திருவண்ணாமலையில் இரமண மகரிஷியை சந்தித்த பின்னர், தான் பக்தி வழிக்கு வந்ததாக பேட்டி ஒன்றில் முருகதாஸ் கூறியிருந்தார். ",அலை பாயுதே கண்ணா 
பாடகர் பி. ஜி. வெங்கடேசன் | Singer P. G. Venkatesan,https://tamizharulagam.in/2021/04/28/singerp-g-venkatesan164331/,"
				April 28, 2021			","பி. ஜி. வெங்கடேசன் (அண். 1910 – திசம்பர் 24, 1950) பழம்பெரும் தமிழ்த் திரைப்பட, நாடக நடிகர், மற்றும் பாடகர் ஆவார். தமிழில் வெளிவந்த முதலாவது பேசும் படமான காளிதாசில் (1931) கதாநாயகனாக…","பி. ஜி. வெங்கடேசன் (அண். 1910 – திசம்பர் 24, 1950) பழம்பெரும் தமிழ்த் திரைப்பட, நாடக நடிகர், மற்றும் பாடகர் ஆவார். தமிழில் வெளிவந்த முதலாவது பேசும் படமான காளிதாசில் (1931) கதாநாயகனாக நடித்தவர். ",தெலுங்கைத் தாய்மொழியாகக் கொண்டவர் வெங்கடேசன். பி. யு. சின்னப்பாவுடன் நாடகங்களில் நடித்தவர். “தென்னிந்திய சைகால்” எனத் திரைப்பட ரசிகர்களால் பாராட்டப் பெற்றவர். ,பி. ஜி. வெங்கடேசன் 1950 திசம்பர் 24 அன்று தனது 40 ஆவது அகவையில் மாரடைப்பால் சேலத்தில் காலமானார். ,காளிதாஸ் (1931) 
பாடகர் பங்கஜ் உதாஸ் | Singer Pankaj Udhas,https://tamizharulagam.in/2021/04/28/singerpankajudhas160138/,"
				April 28, 2021			","பங்கஜ் உதாஸ், (குசராத்தி: પંકજ ઉધાસ) இந்தியாவைச் சேர்ந்த பாடகர். ஜக்ஜித் சிங், தலத் அஜிஸ் போன்ற கஜல் பாடகர்களைப் போல் இவரும் கஜல் பாடல்களை இசையுலகில் பிரதானப்படுத்தி பிரபலமடைந்தவர். 1986 இல்…","பங்கஜ் உதாஸ், (குசராத்தி: પંકજ ઉધાસ) இந்தியாவைச் சேர்ந்த பாடகர். ஜக்ஜித் சிங், தலத் அஜிஸ் போன்ற கஜல் பாடகர்களைப் போல் இவரும் கஜல் பாடல்களை இசையுலகில் பிரதானப்படுத்தி பிரபலமடைந்தவர். ","1986 இல் வெளிவந்த ‘நாம்’ இந்தித் திரைப்படத்தில் அவர் பாடிய ‘சிட்டி ஆயி ஹை’ என்ற பாடல் மிகப்பிரபலமடைந்து இவருக்கு மிகுந்த புகழைப் பெற்றுத்தந்தது. அதைத்தொடர்ந்து, பல திரைப்படங்களுக்கு இவர் பின்னணி பாடியுள்ளார். பல இசைத்தொகுதிகளை (ஆல்பம்) வெளியிட்டுள்ள இவர் சிறந்த கஜல் பாடகராக உலகளவில் அறியப்பட்டுள்ளார். 2006 ஆம் ஆண்டு இந்திய அரசு இவருக்கு பத்மஸ்ரீ விருது வழங்கி கௌரவித்தது. ","குஜராத் மாநிலத்தின் ராஜ்கோட் நகருக்கு அருகில் உள்ள ‘ஜேட்பூர்’ என்னும் ஊரில் உள்ள ஒரு குஜராத்திக் குடும்பத்தில் மூன்றாவது மகனாகப் பிறந்தார். இவருக்கு இரண்டு மூத்த சகோதரர்கள் உண்டு. பெற்றோர் பெயர் : கேஷுபாய் உதாஸ் மற்றும் ஜித்துபென் உதாஸ். பங்கஜ் உதாஸின் மூத்த சகோதரர் ‘மன்ஹர் உதாஸ்’ பாலிவுட் திரைப்படங்களில் பின்னணி பாடகர். இரண்டாவது சகோதரர் ‘நிர்மல் உதாஸ்’, நன்கறியப்பட்ட கஜல் பாடகரும், குடும்பத்தில் பாடகராக முதலில் அறிமுகமானவரும் ஆவார். குடும்பம் மும்பை சென்ற பிறகு, பங்கஜ் அங்குள்ள செயின்ட் சேவியர் கல்லூரியில் பயின்றார். ",
பாடகர் ஜாவத் அலி | Singer Javed Ali,https://tamizharulagam.in/2021/04/28/singerjavedali160042/,"
				April 28, 2021			","ஜாவத் அலி (Javed Ali (இந்தி: जावेद अली, உருது: جاوید علی, பிறப்பு: ஜூலை 5, 1982) என்பவர் இந்தியப் பின்னணிப் பாடகர் ஆவார். இவர் 2000 ஆம் ஆண்டிலிருந்து இந்திப்…","ஜாவத் அலி (Javed Ali (இந்தி: जावेद अली, உருது: جاوید علی, பிறப்பு: ஜூலை 5, 1982) என்பவர் இந்தியப் பின்னணிப் பாடகர் ஆவார். இவர் 2000 ஆம் ஆண்டிலிருந்து இந்திப் பாடல்களைப் பாடி வருகிறார். நகாப் எனும் திரைப்படத்தில் ஏக் தின் தெரி எனும் பாடலைப் பாடியதன் மூலம் புகழ்பெற்ற பாடகரானார். இந்தி, வங்காள மொழி, ஒடியா மொழி, கன்னடம், தமிழ், தெலுங்கு, மராத்திய மொழி, அசாமிய மொழி என இவர் பல மொழிகளில் பின்னணிப் பாடல் பாடியுள்ளார். இவர் பல தொலைக்காட்சி நிகழ்ச்சிகளுக்கு (பாடல் நிகழ்ச்சி) நடுவராக இருந்துள்ளார்., ஜீ தமிழ் தொலைக்காட்சியில் 2011 ஆம் ஆண்டு நடைபெற்ற ச ரி க ம ப மற்றும் கலர்ஸ் தொலைக்காட்சியின் இசை தொடர்பான நிகழ்ச்சிகளில் நடுவராக இருந்துள்ளார். 2012 ஆம் ஆண்டு ஜீ தமிழ் தொலைக்காட்சியில் வெளியான ச ரி க ம ப எனும் நிகழ்ச்சியை தொகுத்து வழங்கினார். ",ஜாவத் அலி (இயற்பெயர் : ஜாவத் உசைன் ) உஸ்தாத் ஹமீது உசைன் என்பவருக்கு மகனாக புது தில்லியில் பிறந்தார். தனது இளம்வயது முதலே கவ்வாலி பாடல்களைப் பாடுவதில் வல்லவரான தனது தந்தையுடன் இணைந்து பாடினார். தனது தந்தை தன்னைக் கீர்த்தனைகள் பாடுமாறு கூறிதாக ஒரு பேட்டியின் போது கூறியுள்ளார். கசல் (இசை) புகழ் குலாம் அலி (பாடகர்) ஜாவத் அலியின் குரலைக் கேட்டு இவன் புகழ் பெற்ற பின்னணிப் பாடகராக வருவான் எனக் கூறியுள்ளார். பின்பு தனது கச்சேரிகளிலும் பாடுவதற்கு வாய்ப்பு கொடுத்தார். அதற்கு நன்றி தெரிவிக்கும் விதமாக ஜாவத் உசைன் என்ற தனது பெயரை ஜாவத் அலி என மாற்றிக் கொண்டார். ,"யுவன் சங்கர் ராஜா இசையில் வாமணன் திரைபடத்தில் ஏதோ செய்கிறாய் என்ற பாடல், குங்கும பூவும் கொஞ்சும் புறாவும் படத்தில் (சின்னஞ் சிறுசுக) பாடல்,யுவன் சங்கர் ராஜா இசையில் சர்வம் ( சிறகுகள்) என்ற மூன்று பாடல்களைப் பாடினார். ",2000- சோரி சோரி (ஆன்க் பேடி நம்பர் 1) 
