திரைப்படம்,பாடலாசிரியர்,இசையமைப்பாளர்,பாடல்,வருடம்,பாடியவர்கள்,பாடல்வரிகள்,மதிப்பீடு,வகை,நுகர்ச்சி
சிங்கம்3,"ஹரி ,மாளவிகா மனோஜ்",ஹரிஷ் ஜெயராஜ், ஹி  இஸ் மை ஹீரோ ,2017,[' மாளவிகா மனோஜ் '],ஹி  இஸ் மை ஹீரோ  நவ்  ஐயம்  பீலிங்  லைக்  எ  pool ஆல்  ஐ எவர்  வான்டெட் ஆல்  ஐ   எவர்  நீடெட்  ஹி     டிரைவ்ஸ்  மீ  ப்ளடி  கிரேசி  ஹி  இஸ் மை ஹீரோ  டியர்ஸ்  ஐ  க்ரை  வில் லெட்   ஹிம்  க்நொவ்  ஐ  விஷ் தட்  ஐ  குட்  ஷோ  ஹிம்  பீலிங்  வன்ன  க்நொவ்   ஹிம்  ஊ  இஸ்  திஸ்  ப்ளடி  பட்டி அவன்  தான்   அவனே  தான்  அவன்  தான்  அவன்  மட்டும்  மட்டும்  தான்   ஹி  இஸ்  மை  ஜோரா  ஆல்  தி  வாய்ஸ்   ஹி  மேக்ஸ் மீ  பீல்   வெள்  ஐ  கெஸ் இட்   நொவ்  ஆர்  நெவெர்  அண்ட்  ஐ   வில் வெயிட்  பார்  எவர்  டெல் ஹிம்  தட்   ஐ  அம் ரெடி  ஹர்ட் அண்ட்  ஹோலோவ்  தட்  இஸ்  தி   வெ ஹி  மேக்ஸ்  மீ  பீல்  வெல்  ஐ  கெஸ்  இட்  நொவ்  ஆர்  நெவெர்  அண்ட்  ஐ  வில் வெயிட்  பார்  எவர்  வெள்  ஐ  க்நொவ்   மை  லவ்  இஸ்  ஸ்டெடி  அவன்  தான்  அவனே  தான்  அவன்  தான்  அவன்  மட்டும்  மட்டும்  தான்  அவன்  தான்  அவனே  தான்  அவன்  தான்  அவன்  மட்டும்  மட்டும்  தான்   ஐ  வான்னா  வான்னா  லவ்  யு    ஐ 'ம்  நெவெர்  கொன்ன  மிஸ்  யு  ஐ  வான்னா  வான்னா  நீட்  யு  ஐ 'ம்  நெவெர்  கொன்ன  மிஸ்  யு   ஐ  வான்னா  வான்னா  லவ்  யு    ஐ 'ம்  நெவெர்  கொன்ன  மிஸ்  யு  ஐ  வான்னா  வான்னா  நீட்  யு  ஐ 'ம்  நெவெர்  கொன்ன  மிஸ்  யு   ஐ  வான்னா  வான்னா  லவ்  யு    ஐ 'ம்  நெவெர்  கொன்ன  மிஸ்  யு  ஐ  வான்னா  வான்னா  நீட்  யு  ஐ 'ம்  நெவெர்  கொன்ன  மிஸ்  யு   ஐ  வான்னா  வான்னா  லவ்  யு    ஐ 'ம்  நெவெர்  கொன்ன  மிஸ்  யு  ஐ  வான்னா  வான்னா  நீட்  யு  ஐ 'ம்  நெவெர்  கொன்ன  மிஸ்  யு ,1,காதல்பாடல்,4063
முப்பரிமாணம்,,G. V. பிரகாஷ் குமார்,Let's Go Party,2017,"['G . V .  பிரகாஷ் குமார்', ' வருன் ']",உல்லாசமாய் உற்ச்சாகமாய் கொண்டாடடா      இந்த உலகை      பெண் பூக்களை உன் பூக்களாய் கைகோர்க்கவா      கண்ணாடி அழகை      கல்யாணம் வேணாம் மச்சி      கண்ணீரும் வேணாம்மச்சி      தண்ணீரில் வண்ண மீன்கள் போல வாழுவோம்      பெண் பூவை கையில் அள்ளி      பேரின்பம் கோடி சொல்லி      உல்லாச வாழ்வை வென்று நீயும் உச்சம் தொடுடா      வாடா மச்சான் லெட்ஸ்கோ பார்ட்டி      வெட்ஸ்கோ பாடி வெட்ஸ்கோ பாடி வெட்ஸ்கோ பாடி      ஆ லெட்ஸ்கோ பாடி லெட்ஸ்கோ பாடி லெட்ஸ்கோ பாடி            சத்தியமா சரக்கடிக்கம்மாட்டேன்      சத்தியமா தம்மடிக்கமாட்டேன்      குடிகாரன் பேச்சு விடிஞ்சா போச்சி      என் ஃபிகரு மூஞ்சி மறந்தேப்போச்சி      அப்பன் குடுத்த காசு எல்லாம்      சரக்கா மாறி உள்ளே போச்சு            நேற்றோடு சோகம் ஓடிப்போனதே      இன்றோடு லைஃப் ஸ்டைல் மாறிப்போனதே      இரத்தத்தில் உண்டு ஏபி பாசிட்டிவ்      நாங்கள் தான் என்றும் பி பாசிட்டிவ்            கைத்தட்டிப் போவோம் டைடல் பார்க்குதான்      கைக்கட்டி என்றும் வாழமாட்டேன்டா      ஆகாயம் எங்கள் எல்லைக்கோடுதான்      மச்சான் மச்சான் எஞ்ஜாய் எஞ்ஜாய்      வா வா வா வா வா       வாடா மச்சான் லெட்ஸ்கோ பார்ட்டி      வெட்ஸ்கோ பாடி வெட்ஸ்கோ பாடி வெட்ஸ்கோ பாடி      ஆ லெட்ஸ்கோ பாடி லெட்ஸ்கோ பாடி லெட்ஸ்கோ பாடி            என்னோடு பேசும் ஏஞ்சல் பூவாந P      கண்ணாலே பேசும் ஊஞ்சல் தீவா நீ      ஆன்ராய்டில் நீதான் அட்டை படமோ      அன்பே உன் காதல் விட்டு விழுமோ            பெண்ணின்றி உலகில் போதை இல்லை      பெண்ணின்றி உலகில் ஏதுமில்லை      உனக்காண பொண்ண கேச் பன்னுடா      அவளோட லைஃப மேச் பன்னடா      மச்சான் மச்சான் எஞ்ஜாய் எஞ்ஜாய்       வா வா வா வா வா      (உல்லாச),2,மெல்லிசைபாடல்,6093
விவேகம் ,"யோகி, அனிருத் ரவிச்சந்தர் , மாளவிகா மனோஜ்",அனிருத் ரவிச்சந்தர் ,Surviva,2017,"[' சிவா', ' யோகி B']",La La La La La Surviva La La La La La Surviva  La La La La La Surviva  La La La La La Surviva  சரித்திரம் புரட்டு  போராட்டம் பல்லாயிரம்  தடைகள் வென்றவர் யார்  சாமானியன் எல்லோரும்  இருட்டு பாதைகளில்  தன்னம்பிக்கை தீ பந்தம்  துணிந்தவன் முன் வந்தால்  விதிகளை மதி வெல்லும்   பாடங்கள் கற்றதால்  விழா விழா நான் எழுவேன்  முதுகு எலும்பு சிதைந்தும்  My Game Is Beyond Pain Do Or Die Be The Best Look Inside Manifest தொடுவோம் சிகரம்  வருங்காலம் நம்மை தொடுமடா நம்மை தொடுமடா ha ha   La La La La La Surviva  La La La La La Surviva  La La La La La Surviva  La La La La La Surviva  இருகரம் ஆயுதம்  புவி போர்க்களம்  அட துடித்திட வெடித்திட அழகடா  பகை கதறிட  உடல் சிதறிட  அதை தடைகள் தடம் செய்த படையடா   பிறப்பதே போராட்டம்தான் My Brother அச்சம்வென்று தைரியமா Together தோழ்விகள் Will Only Make Us Go Stronger உறுதிசை நீயும் நானும் Surviva  Gotta GetUp Gotta GetUp Gotta GetUp விழுந்தாலும் எழுவோம்  Gotta GetUp Gotta GetUp Gotta GetUp சோதனை வெல்வோம்  Gotta GetUp Gotta GetUp Gotta GetUp விழுந்தாலும் எழுவோம்  Gotta GetUp Gotta GetUp Gotta GetUp   I DO It For My Makkaz Give It Up For காதலி  சிந்தனை மனோபலம்  நாம் தீட்டும் கருவி  நமக்கு நிகராக  இல்லை ஒருவர் Why கைநாடிக்குள் கண்டோம் நம்  போட்டியாளர் Realize  When I Fall I Get Up முயன்றால் தான் சாத்தியம்  நிறுத்தாதே Dont Give Up மேன்மை தான் லட்சியம்  Day By Day Step By Step வாழ்க்கையில் No Regrets தொடுவோம் சிகரம்   ஆண்டவன் Bless Me Higher Everytime We Walk Through Fire Enemies Want We Retire I Can Here Them Lie And Say  Impossible Plausible We Make Aasigal Possible Ther Be No Better Time than Today  Knocking Down Doors I'm Coming Out Raw நான் பண்பானவன்  But Hard To The Core தோல்வி உந்தன் படிக்கட்டு உச்சம் ஏறி கொடிகட்டு வெற்றி வாகை சூடி I Rise Up and Soar  La La La La La Surviva  La La La La La Surviva  La La La La La Surviva  La La La La La Surviva  Gotta GetUp Gotta GetUp Gotta GetUp விழுந்தாலும் எழுவோம்  Gotta GetUp Gotta GetUp Gotta GetUp சோதனை வெல்வோம்  Gotta GetUp Gotta GetUp Gotta GetUp விழுந்தாலும் எழுவோம்  Gotta GetUp Gotta GetUp Gotta GetUp   Gotta GetUp Gotta GetUp Gotta GetUp விழுந்தாலும் எழுவோம்  Gotta GetUp Gotta GetUp Gotta GetUp சோதனை வெல்வோம்  Gotta GetUp Gotta GetUp Gotta GetUp விழுந்தாலும் எழுவோம்  Gotta GetUp Gotta GetUp Gotta GetUp,2,காதல்பாடல்,7893
சிங்கம்  3,"ஹரி, ஹரிஷ் ஜெயராஜ் ", ஹரிஷ் ஜெயராஜ் ,Wi Wi Wi WiFi,2017,"[' கார்த்திக் க்ரிஷ்டோபர் ', '  ஸ்ரான்லி', ' நிகிதா காந்தி ']",ஒய்  ஒய்  ஒய்  ஒய்  ஒய்பய்  என்ன  இழுக்குற  ஒரு  லை லை லை லை லைக்கே  தள்ளி  போடுற  நீ  செய்  செய்  செய்  செய்  செய்கை  கண்ணால்  காட்டுற  பால்  இன்  லவ்  யு  பெட்டெர்  பால்   இன்  லவ்  பால்  இன்  லவ்  யு  பெட்டெர்  பால்  இன்  லவ் ஒய்  ஒய்  ஒய்  ஒய்  ஒய்பய்  என்ன  இழுக்குற ஒரு  லை லை லை லை லைக்கே அல்லி  போடுற  நீ  செய்  செய்  செய்  செய்  செய்கை  கண்ணால்  காட்டுற  கேர்ள்  இன்  லவ்  யு  கிரேசி  கேர்ள்  இன்  லவ்  கேர்ள்   இன்  லவ்   யு  கிரேசி  கேர்ள்  இன்  லவ்  சொக்கிய  சொக்கிய  நானும்  காதல்  ஜாங்  டோக்கியா  டோக்கியா  நீயும்  ரொம்ப  கிரேஸிய  மாபியா   மாபியா  நீ  தான்  ஹெர்ட்டு  மாபியா  வரியா  நீ  வந்தா   சரியா   ஒய்  ஒய்  ஒய்  ஒய்  ஒய்பய்  என்ன  இழுக்குற  ஒரு  லை லை லை லை லைக்கே  தள்ளி  போடுற  நீ  செய்  செய்  செய்  செய்  செய்கை  கண்ணால்  காட்டுற  பால்  இன்  லவ்  யு  பெட்டெர்  பால்   இன்  லவ்   உன்னுடைய  பைக்கில் ஏறப்போறன் பேக்கில் உள்ளுக்குள்ள  மயக்கம்  வருமே  காலையிலே  வாக்கிங்  மாலையிலே  சாட்டிங்  வாழ்க்கையெல்லாம்  டேட்டிங்  சுகமே    அன்பே  என்னை  ஹொலிடேய்க்கு  புக்கெட்  பாரிஸ்  கூட்டு  போறியா  போட்டு  மேல  நிக்க  வெச்சு  முத்தம்  தரியா  என்னை  நான்  இழந்திருப்பேன்   உன்  நினைவில்  மிதந்திருப்பேன்   ஒய்  ஒய்  ஒய்  ஒய்  ஒய்பய்  என்ன  இழுக்குற ஒரு  லை லை லை லை லைக்கே அல்லி  போடுற  நீ  செய்  செய்  செய்  செய்  செய்கை  கண்ணால்  காட்டுற  கேர்ள்  இன்  லவ்  யு  கிரேசி  கேர்ள்  இன்  லவ்  கேர்ள்   இன்  லவ்  எக்கச்சக்க  ரைபிள்  என்னை  சுத்தி   லைபில்  சிக்கி  முக்கி  காதல்  வருமா  கன்னி  வெடி  கூட  கையில்  எடுப்பேன்  கன்னி  உன்னை  தொடவே  பயமா  என்  கோவம்  மீதும்  வேகம்  மீதும்  வட்டம்  போட்டாயே  தூக்கம்  மொத்தம்  அல்லி  செல்ல  திட்டம்  போட்டாயே  என்னை  நான்  உணர்ந்திருப்பேன்  கண்  எதிரே  கரைந்திருப்பேன்   ஒய்  ஒய்  ஒய்  ஒய்  ஒய்பய்  என்ன  இழுக்குற  ஒரு  லை லை லை லை லைக்கே  தள்ளி  போடுற  நீ  செய்  செய்  செய்  செய்  செய்கை  கண்ணால்  காட்டுற  பால்  இன்  லவ்  யு  பெட்டெர்  பால்   இன்  லவ்  பால்  இன்  லவ்  யு  பெட்டெர்  பால்  இன்  லவ்,1,காதல்பாடல்,9696
அதே கண்கள்,S. N. அனுராதா,M. ஜிப்ரான்,அடியே நீ களவாணி,2017,"[' ராஜன் செல்லையா', ' ஸ்ரீகணேஷ் ']",அடியே நீ களவாணி குட்டி காட்டேரி கண்ணாடி தேகத்தில் காட்டாறு நீ  அடியே நீ களவாணி குட்டி காட்டேரி அலட்டாமல் விளையாடும் கில்லாடி நீ  கருவண்டு கண்ணுக்குள் ஒரு வண்டி பொய் தானே அமுல் பேபி மேக்கப்பில் அனகோண்டா நீ  தந்திரா தந்திரா தந்திரா தந்திரா தந்திரா  அழகான சதிகாரி அடங்காபிடாரி சிதறாமல் பந்தாடும் சிறு மர்மம் நீ  அழகான சதிகாரி அடங்காபிடாரி பார்பி டால் கெட்டபில் பச்சோந்தி நீ  பசு தோலில் புலி தானே படியாத மான் தானே வெளி வேசம் எல்லாமே வெளிச்சம் ஆச்சே  தந்திரா தந்திரா தந்திரா தந்திரா தந்திரா  அழகான ஒரு ஆபத்தே இவள் தானே விலகு விலகு வினையும் இவளே  அதிவேகம் பெண் மதிதானே புயல் தானே கொடிய கொடிய அனலும் இவளே  தந்திரா தந்திரா தந்திரா தந்திரா தந்திரா  அடியே நீ களவாணி குட்டி காட்டேரி கண்ணாடி தேகத்தில் காட்டாறு நீ  கருவண்டு கண்ணுக்குள் ஒரு வண்டி பொய் தானே அமுல் பேபி மேக்கப்பில் அனகோண்டா நீ  தந்திரா தந்திரா தந்திரா தந்திரா தந்திரா,3,குத்துபாடல்,1636
8 தோட்டாக்கள் ,GKB,KS சுந்தரமூர்த்தி,அந்தி சாயுற நேரம்,2017,"['பத்மலதா ', 'யோஹி சேகர்']",அந்தி சாயுற நேரம் மந்தார செடி ஓரம் ஒரு அம்மாவை பாத்து அய்யா அடிச்சாராம் கண்ணு அவ சிரிச்சாலாம் பொண்ணு  அந்தி சாயுற நேரம் வாய்க்கா வரப்போரம் ஈர புடவைய பார்த்து காயுது உன் கண்ணு பாக்காத நின்னு  கொக்காக கொக்காக கொக்காக கூவேனா குயில போல பாடினா (2)  குயில போல பாடினா அவ குயில போல பாடினா (2)  கொக்கர கொக்கர கோ கோரா கொக்கர கொக்கர கோ (4)  புது சம்பா நெல்ல போல தல தளவென்று மாறினா அவ தல தளவென்று மாறினா அவ மாமா என்று கூறுவா  மீசை வச்ச மச்சான் நீதான் அச்சாரம் ஒன்னு போடணும் அட அச்சாரம் ஒன்னு போடணும் பின்ன ஆட்டம் ஆடி தீக்கணும்  ரத்தினமே முத்தினமே அத்தை பெத்த அற்புதமே (2)  கொக்கர கொக்கர கோ கோரா கொக்கர கொக்கர கோ (4)  அந்தி சாயுற நேரம் மந்தார செடி ஓரம் ஒரு அம்மாவை பாத்து அய்யா அடிச்சாராம் கண்ணு அவ சிரிச்சாலாம் பொண்ணு  கொக்காக கொக்காக கொக்காக கூவேனா குயில போல பாடினா  குயில போல பாடினா அவ குயில போல பாடினா (2)  கொக்கர கொக்கர கோ கோரா கொக்கர கொக்கர கோ (4)  அந்தி சாயுற நேரம் மந்தார செடி ஓரம் ஒரு அம்மாவை பாத்து அய்யா அடிச்சாராம் கண்ணு அவ சிரிச்சாலாம் பொண்ணு,4,குத்துபாடல்,5667
காற்று வெளியிடை,மதன் கார்க்கி,A. R. ரஹ்மான்,அழகியே,2017,['அர்யுன் சன்டி  ஹரிசரன் ஜொனிற்றா காந்தி'], Waiting for a புன்னகை சிரிடி      காணவில்லை heartbeat திருடி......      அடடா நான் கவிஞன் உனை பார்த்து      கெட்டுப்போன கவிஞன்      honest ah நான் பேசவா      இல்லை இது போதுமா      ஓ......மை டார்லிங் நாங்க கம்மிங்      புது புது கணக்கெல்லாம் பென்டிங்  ஓ...   chorus ah நான் கேட்கவா      எஸ்-சா எஸ்-சா நோ-வா எஸ்-சா       அழகியே...... மேரி மீ மேரி மீ அழகியே.........            யாரும் கேட்கா எது ஒன்றை எது ஒன்றை  நான் கேட்டேன் உன்னை      அதை தந்தால் நன்றி பிடிவாதம் இன்றி     நீ தந்தால் நன்றி துளி துளிரே............      துளி காலம் கேட்டேன் துளி காதல் கேட்டேன்      துளி காமம் கேட்டேன் மறு உயிரே............       மறுக்காதே நீ மறக்காதே நீ  எந்தன் அழகியே...... நின்னி......       நின்னி நின்னி நின்னி நின்னி நீ நீ நீ நீ நீ      அழகியே......... மேரி மீ மேரி மீ அழகியே.........      கோபம் வந்தால் கூச்சம் வந்தால் டோன்ட் ஒரி      அழகி ஏ அழகியே ஏ அழகியே.........      மேரி மீ மேரி மீ அழகியே.........      சொர்க்கம் நீ ஏ ஹாய் பிஸ் மி அழகியே.........      காதல் வந்தால் மேட்டர் வந்தால்      call அடி............      அழகியே ஏ அழகியே ஏ! ,3,கானாபாடல்,5120
கடம்பன்,யுகபாரதி,யுவன் சங்கராஜா,ஆகாத காலம்,2017,['அனந்து'],ஆகாத காலம் ஒன்னு அடியோட ஊரக்கொன்னு      பொதைச்சிட்டுப் போயிடுச்சே......      சானேற கீழத்தள்ளும் சதிகார கூட்டம் எங்க      பொனந்திண்ணக் கூடிடுச்சே......      கொடிகாலாக நீண்ட எங்க குடிசையும் கூரையும்      தீஞ்சது தீயாற......... ஓ.........      அடி வேராக வாழ்ந்த எங்க தலமுற கோபுரம்      சாஞ்சது யாரால முடிவுல போனோமே தோத்து      வெலங்கலயே இந்த கூத்து      (ஆகாத)       ஏ...... வெல்லாம காடு காஞ்சா      ஒரு போகந்தான் பாழாப்போகும்      கண்ணான காடு தீஞ்சா      உயிரெல்லாம் ஊனம் ஆகும்      அன்னாந்து பார்த்தேன் வானம்      மழ சிந்தாம ஏது பூமி      மல்லாந்து போன நீதீ      வெறும் மண்ணாகிப்போச்சே சாமி      தல ஓஞ்சோமே.........      அஞ்சாமலே வாழ்ந்தோமே       ஏமாந்துதான் மாஞ்சோமே      (ஆகாத)       அப்பாவியான நாங்க அடிப்பட்டோமே நாடே பார்க்க      கொத்தோட நாங்க சாய ஒரு ஆளில்ல கேள்வி கேட்க      முன்னால ஆண்ட கூட்டம்      முகம் இல்லாம மூலி ஆனோம்      வென்னீரு பாஞ்ச வேரா      தெசை எங்கேயும் காணா போனோம்      புலியானோமே...............      அஞ்சாமலே வாழ்ந்தோமே ஏமாந்துதான் மாஞ்சோமே......      (ஆகாத),5,மெல்லிசைபாடல்,7238
மெர்சல்,விவேக் (lyricist),A. R. ரஹ்மான்,ஆளப்போறான் தமிழன்,2017,"['கைலாஷ் ஹீர்', ' D .  சத்ய பிரகாஷ்', ' தீபக்', ' பூஜா AV']",ஊருக்கண்ணு உறவுக்கண்ணு உன்ன மொச்சுப் பாக்கும் நின்னு சின்ன மகராசன் வரான் மீச முறுக்கு எங்க மண்ணு தங்க மண்ணு உன்ன வைக்கும் சிங்கமுன்னு!  முத்துமணி ரத்தினத்தைப் பெத்தெடுத்த ரஞ்சிதம் ஊருக்குன்னே வாழுங் கண்ணு அப்பனுக்கு சம்மதம் எந்த இடம் வலிகண்டாலும் கண்ணுதானே கலங்கும் கண்ணுபோல எங்களுக்கு காவலா நீ வரணும்..   ஆளப்போறான் தமிழன் உலகம் எல்லாமே வெற்றிமக வழிதான் இனிமே எல்லாமே வீரன்னா யாருனு இந்த நாட்டுக்கே அவன் சொன்னானே வாயில்லா மாட்டுக்கும் அட நீதிய அவன் தந்தானே  சொல்லிச் சொல்லி சரித்திரத்தில் பேர் பொறிப்பான் நெஞ்சில் அள்ளி காத்திதில் நம்ம தேன் தமிழ்தெளிப்பான் மின்னும் உலக மேட தங்க தமிழ பாட பச்சத்தமிழ் உச்சிப்புகழ் ஏறி சிரிக்கும்...  வாராயோ வாராய் நீ அன்பா வந்தா ஒளி கொடுப்போம்  வாராயோ வா.. ராய் நீ வம்பா வந்தா சுளுக்கெடுப்போம்  தமிழன்டா எந்நாளும் சொன்னாலே திமிரேறும் காற்றோட கலந்தாலும் அதுதான் உன் அடையாளம்   ஹே அன்பைக் கொட்டி எங்கமொழி அடித்தளம் போட்டோம் மகுடத்தை தரிக்கிற  ழகரத்தை சேர்த்தோம் தலைமுறை கடந்துமே விரிவதைப் பார்த்தோம் உலகத்தின்  முதல்மொழி உசுரெனக் காத்தோம்  நாள் நகர மாற்றங்கள் நேரும் உன் மொழி சாயும் என்பானே பார் இளைய தமிழனும் வருவான்  தாய்ததமிழ் தூக்கி நிப்பானே கடைசித் தமிழனின் ரத்தம் எழும் வீழாதே   முத்துமணி ரத்தினத்தை பெத்தெடுத்த ரஞ்சிதம் ஊருக்குன்னே வாழுகண்ணு அப்பனுக்கு சம்மதம் எந்த இடம் வலிகண்டாலும் கண்ணுதானே கலங்கும் கண்ணுபோல எங்களுக்கு காவலா நீ வரணும்   நெடுந்தூரம் உன்இசை கேட்கும் பிறை நீக்கி பௌர்ணமியாக்கும் வெதக்காட்டில் விண்மீன் பூக்கும் விழிச்சாலும் நெசந்தான் உயிர் ஏழையும் உன்  நெத்தி முத்தம் போதும் வருங்காலம் வாசனை சேர்க்கும்  ஆளப்போறான் தமிழன் உலகம் எல்லாமே வெற்றிமக வழிதான் இனிமே எல்லாமே வீரன்னா யாருனு இந்த நாட்டுக்கே அவன் சொன்னானே வாயில்லா மாட்டுக்கும் அட நீதிய அவன் தந்தானே  வாராயோ வாராய் நீ அன்பா வந்தா ஒளி கொடுப்போம் வாராயோ வா.. ராய் நீ வம்பா வந்தா சுளுக்கெடுப்போம்  தமிழாலே ஒண்ணானோம் மாறாது எந்நாளும்,2,மெல்லிசைபாடல்,9719
வேலைக்காரன் ,  மதன் கார்க்கி,அனிருத் ரவிச்சந்தர்,இதயனே என்னை,2017,"['அனிருத் ரவிச்சந்தர்', ' நீடி மோகன்']",இதயனே என்னை என்ன செய்கிறாய் இனிமைகள் என்னில் செய்து போனாய்.  இதயனே என்ன மாயம் செய்கிறாய் இரவுகள் வெள்ளை ஆக்கி போனாய்.  வானம் விரிகிறதே நாம் என் கோண மாற்று.  எல்லாம் புரிகிறதே நீ என் சிணுங்கல் ஆற்றி.  பொய்கள் நீங்குதே உண்மை தோன்றுதே.  உன்னை தோழனென்று என் இதழ்கள் கூறுதே.  பூமி மாறுதே வண்ணம் ஏறுதே உன்னை காதல் என்று எந்தம் நெஞ்சம் கூறுதே.  உன் போலே யாரும் யாரும் இல்லையே மண் மேலே ஓர் எல்லை அற்ற காதல் கொண்டேன் உன் மேலே.  நீ வந்தனைகள் ஏதும் என்னில் இல்லை காரணங்கள் இல்லை கேட்காதே சொன்னாலும் ஏற்காதே.  உன் போலே யாரும் யாரும் இல்லையே மண் மேலே ஊவார் எல்லை அற்ற காதல் கொண்டேன் உன் மேலே.  நீ வந்தனைகள் ஏதும் என்னில் இல்லை காரணங்கள் இல்லை கேட்காதே சொன்னாலும் ஏற்காதே.  இதயனே என்னை என்ன செய்கிறாய் இனிமைகள் என்னில் செய்து போனாய்.  இதயனே என்ன மாயம் செய்கிறாய் இரவுகள் வெள்ளை ஆக்கி போனாய்.  எதிரும் பூதிரும் உன்னை என்னை நான் நினைக்க உனது உதிரம் என்று உன்னை மாற்றினாய்.  சருகு சருகு என்று நான் உதிர்ந்து விழும் போதும் சிறகு சிறகு தந்து வானில் ஏற்றினாய்.  முதல் முறை எனது ஆளை தாண்டி தொலை தாண்டி கேள்வி இன்றி உள்ளே செல்கிறாயோ.  முதன் முறை எனது நெஞ்சம் கண்ணு உன்னை கண்டு கண்கள் கண்டு காதல் சொல்கிறாய்  உன் போலே யாரும் யாரும் இல்லையே மண் மேலே ஊவார் எல்லை அற்ற காதல் கொண்டேன் உன் மேலே.  நீ வந்தனைகள் ஏதும் என்னில் இல்லை காரணங்கள் இல்லை கேட்காதே சொன்னாலும் ஏற்காதே.  உன் போலே யாரும் யாரும் இல்லையே மண் மேலே ஊவார் எல்லை அற்ற காதல் கொண்டேன் உன் மேலே.  நீ வந்தனைகள் ஏதும் என்னில் இல்லை காரணங்கள் இல்லை கேட்காதே சொன்னாலும் ஏற்காதே.  இதயனே என்னை என்ன செய்கிறாய் இனிமைகள் என்னில் செய்து போனாய்.  இதயனே என்ன மாயம் செய்கிறாய் இரவுகள் வெள்ளை ஆக்கி போனாய்.,2,மெல்லிசைபாடல்,4165
